name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul
DE Bollinger (AUS),2009-2011,39,39,323.4,28,1482,62,5/35,23.90,4.57,31.3,3,2
BM Scholtz (NAM),2019-2024,45,45,384.5,49,1281,62,5/22,20.66,3.32,37.2,2,1
SW Tait (AUS),2007-2011,35,34,281.2,11,1461,62,4/39,23.56,5.19,27.2,2,0
DT Hondo (ZIM),2001-2005,56,56,396.5,21,2171,61,4/37,35.59,5.47,39.0,3,0
DR Smith (WI),2004-2015,105,73,454.2,18,2285,61,5/45,37.45,5.02,44.6,3,1
Syed Rasel (BAN),2005-2010,52,52,442.5,41,2051,61,4/22,33.62,4.63,43.5,1,0
N Vanua (PNG),2014-2023,57,55,400.2,19,2085,61,4/24,34.18,5.20,39.3,4,0
CJ Anderson (NZ),2013-2017,49,43,247.3,10,1502,60,5/63,25.03,6.06,24.7,2,1
FH Edwards (WI),2003-2009,50,49,356.2,23,1812,60,6/22,30.20,5.08,35.6,0,2
RM Haq (SCOT),2006-2015,54,51,438.5,14,1975,60,5/54,32.91,4.50,43.8,2,1
B Muzarabani (ZIM),2018-2024,48,47,385.2,22,1962,60,5/49,32.70,5.09,38.5,3,1
AR Patel (IND),2014-2023,57,52,434.3,19,1972,60,3/24,32.86,4.53,43.4,0,0
JC Tredwell (ENG),2010-2015,45,44,350.4,18,1666,60,4/41,27.76,4.75,35.0,3,0
MR Adair (IRE),2019-2024,48,46,360.3,22,2085,59,4/19,35.33,5.78,36.6,4,0
PAJ DeFreitas (ENG),1990-1997,58,58,529.4,56,2192,59,3/31,37.15,4.13,53.8,0,0
Hamid Hassan (AFG),2009-2019,38,37,289.0,24,1330,59,5/45,22.54,4.60,29.3,2,1
Tapash Baisya (BAN),2002-2007,56,56,434.4,18,2452,59,4/16,41.55,5.64,44.2,2,0
A Dananjaya (SL),2012-2024,40,38,332.3,5,1715,58,6/29,29.56,5.15,34.3,2,2
AC Evans (SCOT),2009-2023,42,40,321.2,17,1679,58,5/43,28.94,5.22,33.2,2,1
KM Jarvis (ZIM),2009-2019,49,49,393.4,23,2088,58,4/17,36.00,5.30,40.7,2,0
HK Olonga (ZIM),1995-2003,50,49,343.1,13,1977,58,6/19,34.08,5.76,35.5,2,2
Mudassar Bukhari (NED),2007-2014,46,46,339.2,31,1601,57,3/17,28.08,4.71,35.7,0,0
MJ Clarke (AUS),2003-2015,245,106,430.5,7,2146,57,5/35,37.64,4.98,45.3,1,1
AJ Hosein (WI),2021-2023,38,38,348.2,12,1687,57,4/39,29.59,4.84,36.6,1,0
MA Leask (SCOT),2014-2024,72,65,387.4,12,1929,57,4/24,33.84,4.97,40.8,2,0
AF Milne (NZ),2012-2023,49,48,373.4,8,2027,57,4/34,35.56,5.42,39.3,1,0
DS Mohanty (IND),1997-2001,45,44,332.4,21,1662,57,4/56,29.15,4.99,35.0,1,0
T Mupariwa (ZIM),2004-2016,40,40,336.3,23,1690,57,4/39,29.64,5.02,35.4,3,0
PM Seelaar (NED),2006-2022,57,57,434.5,19,2034,57,4/15,35.68,4.67,45.7,1,0
Arshad Khan (PAK),1993-2006,58,56,470.3,27,1948,56,4/33,34.78,4.14,50.4,1,0
PVD Chameera (SL),2015-2024,52,51,360.0,16,1970,56,5/16,35.17,5.47,38.5,1,1
JB Little (IRE),2019-2023,36,34,288.5,11,1757,56,6/36,31.37,6.08,30.9,3,1
MR Marsh (AUS),2011-2023,89,69,364.5,9,2009,56,5/33,35.87,5.50,39.0,1,1
R Ngarava (ZIM),2017-2024,44,42,326.1,22,1739,56,5/32,31.05,5.33,34.9,1,1
Shoriful Islam (BAN),2021-2024,36,36,274.1,13,1515,56,4/21,27.05,5.52,29.3,3,0
R Telemachus (SA),1998-2006,37,37,319.4,23,1565,56,4/43,27.94,4.89,34.2,1,0
XJ Doherty (AUS),2010-2015,60,56,465.2,17,2224,55,4/28,40.43,4.77,50.7,3,0
AF Giles (ENG),1997-2005,62,57,476.0,17,2069,55,5/57,37.61,4.34,51.9,0,1
KA Maharaj (SA),2017-2023,44,43,369.2,13,1686,55,4/33,30.65,4.56,40.2,2,0
KA Pollard (WI),2007-2022,123,82,379.1,4,2161,55,3/27,39.29,5.69,41.3,0,0
RN ten Doeschate (NED),2006-2011,33,33,263.2,18,1327,55,4/31,24.12,5.03,28.7,3,0
M Theekshana (SL),2021-2024,42,41,350.1,13,1623,55,4/25,29.50,4.63,38.2,5,0
A Vala (PNG),2014-2023,66,61,398.0,23,1579,55,3/17,28.70,3.96,43.4,0,0
Zeeshan Maqsood (OMA),2019-2023,42,42,339.5,19,1456,55,4/15,26.47,4.28,37.0,4,0
AR Adams (NZ),2001-2007,42,40,314.1,15,1643,53,5/22,31.00,5.22,35.5,2,1
SR Clark (AUS),2005-2009,39,38,304.5,18,1477,53,4/54,27.86,4.84,34.5,2,0
Mohammad Naveed (UAE),2014-2019,39,39,323.0,12,1757,53,5/28,33.15,5.43,36.5,0,1
SMSM Senanayake (SL),2012-2015,49,47,393.0,11,1874,53,4/13,35.35,4.76,44.4,1,0
CB Sole (SCOT),2016-2023,30,30,248.2,17,1255,53,4/27,23.67,5.05,28.1,3,0
GI Allott (NZ),1997-2000,31,31,254.4,17,1207,52,4/35,23.21,4.73,29.3,4,0
SS Cottrell (WI),2015-2021,38,36,287.0,11,1685,52,5/46,32.40,5.87,33.1,2,1
NM Coulter-Nile (AUS),2013-2019,32,32,279.4,10,1555,52,4/48,29.90,5.56,32.2,1,0
KSC de Silva (SL),1996-2000,38,37,269.5,10,1323,52,3/18,25.44,4.90,31.1,0,0
DS Lehmann (AUS),1996-2005,117,62,298.5,3,1445,52,4/7,27.78,4.83,34.4,1,0
VC Drakes (WI),1995-2004,34,34,273.2,22,1293,51,5/33,25.35,4.73,32.1,3,2
TM Moody (AUS),1990-1999,69,62,449.1,31,1933,51,3/25,37.90,4.30,52.8,0,0
CPH Ramanayake (SL),1990-1995,48,48,379.2,34,1626,51,4/17,31.88,4.28,44.6,1,0
PL Taylor (AUS),1990-1992,45,42,349.0,18,1384,51,3/27,27.13,3.96,41.0,0,0
AM Blignaut (ZIM),1999-2010,54,53,391.2,12,2063,50,4/43,41.26,5.27,46.9,2,0
JA Morkel (Afr/SA),2004-2012,58,52,345.3,13,1899,50,4/29,37.98,5.49,41.4,2,0
T Thushara (SL),2008-2010,38,38,279.2,17,1393,50,5/47,27.86,4.98,33.5,0,1
JH Davey (SCOT),2010-2019,31,29,216.5,18,1082,49,6/28,22.08,4.99,26.5,1,2
CD McMillan (NZ),1997-2007,197,74,313.1,7,1717,49,3/20,35.04,5.48,38.3,0,0
AR Nurse (WI),2016-2019,54,49,397.2,6,2125,49,4/51,43.36,5.34,48.6,2,0
JS Patel (NZ),2005-2017,43,42,335.4,9,1691,49,3/11,34.51,5.03,41.1,0,0
JK Kamande (KENYA),1999-2011,86,71,436.3,19,2169,48,4/36,45.18,4.96,54.5,1,0
S Lee (AUS),1995-2001,45,43,284.2,14,1245,48,5/33,25.93,4.37,35.5,1,1
JF Mooney (IRE),2006-2015,64,50,299.3,19,1635,48,4/27,34.06,5.45,37.4,2,0
CH Morris (SA),2013-2019,42,40,315.4,10,1756,48,4/31,36.58,5.56,39.4,2,0
MP Stoinis (AUS),2015-2023,70,63,342.1,4,2059,48,3/16,42.89,6.01,42.7,0,0
WKM Benjamin (WI),1991-1995,38,38,325.1,26,1316,47,5/22,28.00,4.04,41.5,0,1
Shahadat Hossain (BAN),2006-2013,51,50,366.2,18,2143,47,3/34,45.59,5.84,46.7,0,0
PW Borren (NED),2006-2014,58,51,329.5,10,1620,46,4/32,35.21,4.91,43.0,1,0
N Chopra (IND),1998-2000,39,37,305.5,21,1286,46,5/21,27.95,4.20,39.8,1,1
CJ Jordan (ENG),2013-2022,35,35,276.4,5,1660,46,5/29,36.08,6.00,36.0,0,1
NAM McLean (WI),1996-2003,45,45,353.2,18,1729,46,3/21,37.58,4.89,46.0,0,0
Mirwais Ashraf (AFG),2009-2016,46,45,334.5,25,1360,46,4/35,29.56,4.06,43.6,1,0
Mohammad Asif (Asia/PAK),2005-2010,38,36,323.3,29,1524,46,3/28,33.13,4.71,42.1,0,0
SB O'Connor (NZ),1997-2000,38,38,247.5,10,1396,46,5/39,30.34,5.63,32.3,1,2
Samiullah Shinwari (AFG),2009-2019,84,65,351.5,10,1729,46,4/31,37.58,4.91,45.8,1,0
BC Strang (ZIM),1995-2001,49,48,415.4,40,1718,46,6/20,37.34,4.13,54.2,1,1
RJW Topley (ENG),2015-2023,29,29,223.0,17,1202,46,6/24,26.13,5.39,29.0,2,1
LV van Beek (NED),2021-2023,33,33,285.3,15,1612,46,4/24,35.04,5.64,37.2,3,0
RDB Croft (ENG),1996-2001,50,49,411.0,25,1743,45,3/51,38.73,4.24,54.8,0,0
RA Harper (WI),1992-1996,39,37,312.3,17,1246,45,4/40,27.68,3.98,41.6,3,0
NO Miller (WI),2008-2018,50,46,354.1,16,1660,45,4/43,36.88,4.68,47.2,2,0
H Osinde (CAN),2006-2013,42,41,282.0,25,1389,45,4/26,30.86,4.92,37.6,2,0
EC Rainsford (ZIM),2004-2010,39,39,317.5,33,1401,45,5/36,31.13,4.40,42.3,1,1
AR Whittall (ZIM),1996-2000,63,62,514.1,17,2251,45,3/23,50.02,4.37,68.5,0,0
HS Baidwan (CAN),2008-2014,32,32,258.3,13,1348,44,3/19,30.63,5.21,35.2,0,0
DM de Silva (SL),2016-2023,90,75,375.0,1,1907,44,3/32,43.34,5.08,51.1,0,0
S Elworthy (SA),1998-2002,39,37,283.4,29,1235,44,3/17,28.06,4.35,38.6,0,0
Fazalhaq Farooqi (AFG),2022-2024,32,32,237.0,14,1368,44,4/34,31.09,5.77,32.3,4,0
RJ Harris (AUS),2009-2012,21,20,171.5,13,832,44,5/19,18.90,4.84,23.4,0,3
Imad Wasim (PAK),2015-2020,55,53,400.3,8,1957,44,5/14,44.47,4.88,54.6,0,1
Nazmul Hossain (BAN),2004-2012,38,37,274.5,23,1386,44,4/40,31.50,5.04,37.4,1,0
RP Snell (SA),1991-1996,42,42,349.1,25,1574,44,5/40,35.77,4.50,47.6,2,1
DP Viljoen (ZIM),1997-2001,53,46,345.5,7,1639,44,3/20,37.25,4.73,47.1,0,0
JC Adams (WI),1992-2001,127,56,309.2,12,1499,43,5/37,34.86,4.84,43.1,0,1
CR Brathwaite (WI),2011-2019,44,40,304.1,11,1766,43,5/27,41.06,5.80,42.4,2,1
BFW de Leede (NED),2018-2024,43,35,219.0,2,1362,43,5/52,31.67,6.21,30.5,1,1
ARC Fraser (ENG),1990-1999,36,36,344.1,48,1188,43,4/22,27.62,3.45,48.0,1,0
CAK Rajitha (SL),2018-2023,34,34,254.3,5,1553,43,4/50,36.11,6.10,35.5,2,0
Shapoor Zadran (AFG),2009-2019,44,44,330.3,34,1589,43,4/24,36.95,4.80,46.1,2,0
PR Stirling (IRE),2008-2024,161,76,406.5,8,1942,43,6/55,45.16,4.77,56.7,1,1
MA Suji (KENYA),1996-2006,64,64,492.0,48,2190,43,4/24,50.93,4.45,68.6,1,0
JC Archer (ENG),2019-2023,21,21,189.5,14,913,42,6/40,21.73,4.80,27.1,0,1
KLT Arthurton (WI),1990-1999,92,43,227.4,4,1149,42,4/31,27.35,5.04,32.5,3,0
AC Botha (IRE),2006-2011,42,33,260.0,22,1134,42,4/19,27.00,4.36,37.1,2,0
JW Hastings (AUS),2010-2017,29,29,247.4,7,1256,42,6/45,29.90,5.07,35.3,1,1
Khawar Ali (OMA),2019-2022,34,34,265.1,6,1265,42,5/15,30.11,4.77,37.8,1,1
CBRLS Kumara (SL),2017-2024,31,31,210.3,4,1356,42,4/48,32.28,6.44,30.0,1,0
Mohammad Nawaz (3) (PAK),2016-2023,37,37,295.3,4,1507,42,4/19,35.88,5.09,42.2,3,0
NK Patel (USA),2019-2023,41,39,269.1,8,1281,42,4/30,30.50,4.75,38.4,1,0
SA Thomson (NZ),1990-1996,56,51,353.3,21,1602,42,3/14,38.14,4.53,50.5,0,0
W Watson (NZ),1990-1994,33,33,300.1,24,1239,42,4/27,29.50,4.12,42.8,1,0
Aftab Alam (AFG),2010-2019,27,27,209.3,14,1033,41,4/25,25.19,4.93,30.6,1,0
JAR Blain (SCOT),1999-2009,33,32,221.3,12,1173,41,5/22,28.60,5.29,32.4,1,1
DG Cork (ENG),1992-2002,32,32,295.2,18,1368,41,3/27,33.36,4.63,43.2,0,0
CE Cuffy (WI),1994-2002,41,41,358.5,41,1436,41,4/24,35.02,4.00,52.5,1,0
S Dhaniram (CAN),2006-2010,44,41,294.5,16,1240,41,5/32,30.24,4.20,43.1,1,1
A Dutt (NED),2021-2024,38,38,294.5,20,1526,41,6/34,37.21,5.17,43.1,0,1
SM Ervine (ZIM),2001-2004,42,40,274.5,10,1561,41,3/29,38.07,5.67,40.2,0,0
D Madushanka (SL),2023-2024,23,23,173.0,11,1020,41,5/80,24.87,5.89,25.3,1,1
Mohammad Saifuddin (BAN),2017-2021,29,28,213.5,7,1279,41,4/41,31.19,5.98,31.2,1,0
VD Philander (SA),2007-2015,30,28,213.1,20,986,41,4/12,24.04,4.62,31.1,2,0
Amir Hamza (AFG),2012-2017,31,31,258.4,22,1016,40,4/17,25.40,3.92,38.8,1,0
RP Arnold (SL),1997-2007,180,84,359.3,8,1739,40,3/47,43.47,4.83,53.9,0,0
RS Bopara (ENG),2007-2015,120,74,310.0,11,1523,40,4/38,38.07,4.91,46.5,1,0
Hamza Tahir (SCOT),2019-2023,31,30,242.2,7,1033,40,5/38,25.82,4.26,36.3,2,1
LM Jongwe (ZIM),2014-2024,43,39,235.5,12,1339,40,5/6,33.47,5.67,35.3,0,1
SJ Benn (WI),2008-2016,47,46,397.5,15,1913,39,4/18,49.05,4.80,61.2,3,0
PT Collins (WI),1999-2005,30,30,262.5,18,1212,39,5/43,31.07,4.61,40.4,0,1
GD Elliott (NZ),2008-2016,83,56,217.0,8,1179,39,4/31,30.23,5.43,33.3,1,0
WK McCallan (IRE),2006-2009,39,35,300.4,12,1208,39,4/30,30.97,4.01,46.2,2,0
H Masakadza (ZIM),2001-2019,209,85,307.2,5,1636,39,3/39,41.94,5.32,47.2,0,0
MO Odumbe (KENYA),1996-2003,61,52,372.5,21,1807,39,4/38,46.33,4.84,57.3,1,0
KW Richardson (AUS),2013-2020,25,25,218.4,11,1240,39,5/68,31.79,5.67,33.6,0,1
Simi Singh (IRE),2017-2022,35,30,253.1,19,1011,39,5/10,25.92,3.99,38.9,0,1
NP Kenjige (USA),2019-2023,40,39,312.4,12,1327,38,3/22,34.92,4.24,49.3,0,0
DS Airee (NEP),2018-2024,55,49,324.2,19,1269,38,3/18,33.39,3.91,51.2,0,0
D Bishoo (WI),2011-2019,42,40,337.0,8,1668,38,3/30,43.89,4.94,53.2,0,0
AJ Ireland (ZIM),2005-2007,26,26,221.0,13,1115,38,3/41,29.34,5.04,34.8,0,0
Nadeem Ahmed (HKG),2004-2018,25,25,221.1,16,932,38,4/26,24.52,4.21,34.9,4,0
SP O'Donnell (AUS),1990-1991,29,29,241.1,20,993,38,5/13,26.13,4.11,38.0,1,1
R Vinay Kumar (IND),2010-2013,31,31,239.2,19,1423,38,4/30,37.44,5.94,37.7,1,0
Aayan Afzal Khan (UAE),2022-2024,28,28,252.2,22,978,37,4/14,26.43,3.87,40.9,1,0
Basil Hameed (UAE),2019-2024,40,33,188.4,12,754,37,5/17,20.37,3.99,30.5,2,1
TJ Friend (ZIM),2000-2004,51,45,321.4,13,1779,37,4/55,48.08,5.53,52.1,1,0
JN Frylinck (NAM),2019-2024,32,30,204.2,19,888,37,5/13,24.00,4.34,33.1,0,1
MR Gillespie (NZ),2006-2009,32,31,253.3,30,1369,37,4/58,37.00,5.40,41.1,1,0
M Kartik (IND),2002-2007,37,36,317.5,19,1612,37,6/27,43.56,5.07,51.5,0,1
T Lungameni (NAM),2022-2024,24,24,179.0,14,779,37,6/42,21.05,4.35,29.0,1,1
KP Meiyappan (UAE),2019-2023,31,31,201.2,6,1114,37,4/37,30.10,5.53,32.6,4,0
LN Rajbanshi (NEP),2019-2024,29,25,206.0,13,784,37,5/20,21.18,3.80,33.4,2,1
SR Taylor (USA),2019-2023,45,40,247.5,13,1124,37,4/23,30.37,4.53,40.1,1,0
KS Williamson (NZ),2010-2023,165,65,244.3,2,1310,37,4/22,35.40,5.35,39.6,1,0
HMCM Bandara (SL),2006-2010,31,28,245.0,3,1232,36,4/31,34.22,5.02,40.8,2,0
MG Bevan (AUS),1994-2004,232,67,327.4,4,1655,36,3/36,45.97,5.05,54.6,0,0
JM Davison (CAN),2003-2011,32,31,239.1,17,1067,36,3/15,29.63,4.46,39.8,0,0
SB Doull (NZ),1992-2000,42,42,290.5,25,1459,36,4/25,40.52,5.01,48.4,1,0
S Randiv (SL),2009-2016,31,29,239.3,5,1214,36,5/42,33.72,5.06,39.9,0,1
Khurram Chohan (CAN),2009-2014,25,24,197.4,12,1029,36,5/68,28.58,5.20,32.9,3,1
A Nortje (SA),2019-2023,22,21,167.4,4,982,36,4/51,27.27,5.85,27.9,3,0
BP Patterson (WI),1991-1993,28,27,238.5,18,976,36,3/37,27.11,4.08,39.8,0,0
SK Raina (IND),2005-2018,226,101,354.2,5,1811,36,3/34,50.30,5.11,59.0,0,0
DT Tiripano (ZIM),2014-2022,38,36,251.2,12,1456,36,5/63,40.44,5.79,41.8,0,1
I Wardlaw (SCOT),2013-2015,22,21,184.4,7,1036,36,4/22,28.77,5.61,30.7,2,0
CJ Chibhabha (ZIM),2005-2023,109,59,279.5,12,1631,35,4/25,46.60,5.82,47.9,1,0
M Jansen (SA),2022-2023,23,23,179.2,8,1138,35,5/39,32.51,6.34,30.7,0,1
NC Johnson (ZIM),1998-2000,48,39,250.3,9,1220,35,4/42,34.85,4.87,42.9,1,0
Kaleemullah (OMA),2019-2023,39,39,291.0,26,1289,35,3/43,36.82,4.42,49.8,0,0
Naeem Islam (BAN),2008-2014,59,48,290.3,9,1407,35,3/32,40.20,4.84,49.8,0,0
CO Obuya (KENYA),2001-2014,104,49,303.0,8,1637,35,5/24,46.77,5.40,51.9,0,1
D Pretorius (SA),2016-2022,27,26,190.4,9,947,35,4/36,27.05,4.96,32.6,1,0
JJ Smit (NAM),2019-2024,33,25,184.0,14,777,35,5/26,22.20,4.22,31.5,1,2
BA Williams (AUS),2002-2004,25,24,200.3,19,814,35,5/22,23.25,4.05,34.3,1,2
KJ Abbott (SA),2013-2016,28,27,217.1,13,1051,34,4/21,30.91,4.83,38.3,2,0
L Balaji (IND),2002-2009,30,30,241.1,11,1344,34,4/48,39.52,5.57,42.5,1,0
RD Berrington (SCOT),2008-2024,115,62,258.2,8,1345,34,4/40,39.55,5.20,45.5,1,0
TL Best (WI),2004-2014,26,26,216.4,9,1157,34,4/35,34.02,5.34,38.2,2,0
PKD Chase (IRE),2015-2018,25,24,206.2,2,1356,34,3/33,39.88,6.57,36.4,0,0
TK Curran (ENG),2017-2021,28,28,218.0,8,1290,34,5/35,37.94,5.91,38.4,2,1
OD Gibson (WI),1995-1997,15,15,123.1,8,621,34,5/40,18.26,5.04,21.7,2,2
RDM Leverock (BER),2006-2009,32,32,280.4,38,1123,34,5/53,33.02,4.00,49.5,0,1
Mohammad Wasim (1) (PAK),2022-2023,20,20,160.2,7,856,34,4/36,25.17,5.33,28.2,1,0
DN Patel (NZ),1990-1997,54,52,439.0,28,1732,34,3/26,50.94,3.94,77.4,0,0
KMA Paul (WI),2018-2023,30,29,208.5,4,1238,34,3/34,36.41,5.92,36.8,0,0
RR Powar (IND),2004-2007,31,29,256.0,6,1191,34,3/24,35.02,4.65,45.1,0,0
JA Rennie (ZIM),1993-2000,44,43,327.3,16,1564,34,3/27,46.00,4.77,57.7,0,0
Usman Shinwari (PAK),2017-2019,17,17,128.0,8,633,34,5/34,18.61,4.94,22.5,3,2
Akram Raza (PAK),1990-1995,44,43,393.3,14,1450,33,3/18,43.93,3.68,71.5,0,0
Ali Khan (USA),2019-2023,15,15,113.3,9,542,33,7/32,16.42,4.77,20.6,0,2
KCG Benjamin (WI),1992-1996,26,26,219.5,12,923,33,3/34,27.96,4.19,39.9,0,0
HK Bennett (NZ),2010-2020,19,18,148.4,5,820,33,4/16,24.84,5.51,27.0,3,0
U Bhatti (CAN),2006-2010,36,35,271.4,31,1149,33,4/45,34.81,4.22,49.3,1,0
SM Curran (ENG),2018-2023,32,32,212.5,10,1323,33,5/48,40.09,6.21,38.6,1,1
ST Gabriel (WI),2016-2019,25,25,191.2,6,1134,33,3/17,34.36,5.92,34.7,0,0
SI Kamea (PNG),2022-2023,22,21,166.4,10,868,33,5/38,26.30,5.20,30.3,0,2
YK Pathan (IND),2008-2012,57,50,248.2,3,1365,33,3/49,41.36,5.49,45.1,0,0
E Schiferli (NED),2002-2013,30,30,215.4,16,1008,33,4/23,30.54,4.67,39.2,3,0
Shabbir Ahmed (PAK),1999-2005,32,32,273.4,25,1192,33,3/32,36.12,4.35,49.7,0,0
EO Simons (SA),1994-1995,23,23,202.0,21,810,33,4/42,24.54,4.00,36.7,1,0
TM Alderman (AUS),1990-1991,23,23,191.5,24,712,32,5/32,22.25,3.71,35.9,0,1
CJA Amini (PNG),2014-2023,49,43,284.2,8,1378,32,4/27,43.06,4.84,53.3,1,0
PP Chawla (IND),2007-2011,25,25,218.4,6,1117,32,4/23,34.90,5.10,41.0,2,0
AC Dale (AUS),1997-2000,30,30,266.0,34,979,32,3/18,30.59,3.68,49.8,0,0
MG Erasmus (NAM),2019-2024,44,30,171.0,8,719,32,5/28,22.46,4.20,32.0,0,1
MJ Hoggard (ENG),2001-2006,26,26,217.4,13,1152,32,5/49,36.00,5.29,40.8,0,1
AJ Hollioake (ENG),1996-1999,35,32,201.2,3,1019,32,4/23,31.84,5.06,37.7,2,0
Imran Haider (UAE),2017-2019,20,20,157.1,6,841,32,4/25,26.28,5.35,29.4,2,0
JM Kemp (Afr/SA),2001-2007,85,48,217.1,10,1015,32,3/20,31.71,4.67,40.7,0,0
FJ Klaassen (NED),2018-2023,19,19,174.3,12,753,32,3/23,23.53,4.31,32.7,0,0
WP Masakadza (ZIM),2015-2024,38,35,258.0,8,1266,32,4/21,39.56,4.90,48.3,1,0
Naseem Shah (PAK),2022-2023,14,14,115.5,3,543,32,5/33,16.96,4.68,21.7,0,2
KTGD Prasad (SL),2006-2015,24,24,169.1,4,976,32,3/17,30.50,5.76,31.7,0,0
S Prasanna (SL),2011-2019,40,39,324.1,9,1767,32,3/32,55.21,5.45,60.7,0,0
Rizwan Cheema (CAN),2008-2013,33,32,221.4,11,1095,32,3/25,34.21,4.93,41.5,0,0
BV Vitori (ZIM),2011-2018,24,24,198.5,4,1149,32,5/20,35.90,5.77,37.2,0,2
G Coetzee (SA),2023-2023,14,14,111.0,1,720,31,4/44,23.22,6.48,21.4,2,0
JW Dernbach (ENG),2011-2013,24,24,205.4,6,1308,31,4/45,42.19,6.35,39.8,1,0
KS Lokuarachchi (SL),2003-2007,21,21,168.3,7,725,31,4/44,23.38,4.30,32.6,1,0
MJ Mason (NZ),2003-2010,26,25,196.3,15,1024,31,4/24,33.03,5.21,38.0,1,0
MM Sharma (IND),2013-2015,26,25,186.5,12,1020,31,4/22,32.90,5.45,36.1,1,0
Taijul Islam (BAN),2014-2024,20,20,175.0,9,805,31,5/28,25.96,4.60,33.8,1,1
J Theron (SA/USA),2010-2022,18,17,130.0,6,667,31,5/44,21.51,5.13,25.1,1,1
O Thomas (WI),2018-2024,25,24,153.2,1,1034,31,5/21,33.35,6.74,29.6,1,1
MR Whitney (AUS),1991-1993,29,29,264.0,37,874,31,4/34,28.19,3.31,51.0,1,0
Abdur Rehman (PAK),2006-2014,31,31,270.4,12,1142,30,4/48,38.06,4.21,54.1,1,0
C de Grandhomme (NZ),2012-2022,45,45,258.0,10,1230,30,3/26,41.00,4.76,51.6,0,0
Hasan Mahmud (BAN),2021-2023,22,21,159.3,7,963,30,5/32,32.10,6.03,31.9,0,1
GA Hick (ENG),1991-2001,120,47,206.0,6,1026,30,5/33,34.20,4.98,41.2,0,1
RK Illingworth (ENG),1991-1996,25,25,250.1,13,1059,30,3/33,35.30,4.23,50.0,0,0
SI Mahmood (ENG),2004-2009,26,25,199.3,7,1169,30,4/50,38.96,5.85,39.9,1,0
GT Main (SCOT),2019-2022,14,14,108.1,10,569,30,5/52,18.96,5.26,21.6,1,1
DA Marillier (ZIM),2000-2003,48,35,262.2,7,1235,30,4/38,41.16,4.70,52.4,1,0
TBA May (AUS),1992-1995,33,33,307.2,11,1286,30,3/19,42.86,4.18,61.4,0,0
CG Rackemann (AUS),1990-1991,21,21,185.0,17,691,30,4/44,23.03,3.73,37.0,1,0
PR Adams (SA),1996-2003,24,23,184.5,7,815,29,3/26,28.10,4.40,38.2,0,0
RK Chauhan (IND),1993-1997,35,34,272.2,12,1216,29,3/29,41.93,4.46,56.3,0,0
TBM de Leede (NED),1996-2007,29,29,189.5,6,999,29,4/35,34.44,5.26,39.2,1,0
Ehsan Khan (HKG),2016-2018,15,15,134.3,7,594,29,4/33,20.48,4.41,27.8,1,0
Hasibul Hossain (BAN),1995-2004,32,32,229.1,13,1338,29,4/56,46.13,5.83,47.4,1,0
BW Hilfenhaus (AUS),2007-2012,25,25,202.4,16,1075,29,5/33,37.06,5.30,41.9,0,1
NM Lyon (AUS),2012-2019,29,29,271.0,11,1334,29,4/44,46.00,4.92,56.0,1,0
BA Murphy (ZIM),2000-2003,31,29,237.0,9,1130,29,3/43,38.96,4.76,49.0,0,0
M Prasidh Krishna (IND),2021-2023,17,17,132.2,7,742,29,4/12,25.58,5.60,27.3,2,0
FA Rose (WI),1997-2000,27,27,221.0,13,1046,29,5/23,36.06,4.73,45.7,0,1
RJ Sidebottom (ENG),2001-2010,25,25,212.5,12,1039,29,3/19,35.82,4.88,44.0,0,0
RE van der Merwe (NED/SA),2009-2024,27,27,222.3,3,1088,29,3/27,37.51,4.88,46.0,0,0
CM Wright (SCOT),2006-2009,20,19,143.3,15,663,29,4/29,22.86,4.62,29.6,1,0
SA Abbott (AUS),2014-2024,21,21,165.1,9,894,28,3/23,31.92,5.41,35.3,0,0
IG Butler (NZ),2002-2010,26,25,184.5,6,1038,28,4/44,37.07,5.61,39.6,1,0
C Campher (IRE),2020-2024,37,30,168.4,4,999,28,4/37,35.67,5.92,36.1,1,0
Fayyaz Butt (OMA),2019-2023,23,23,167.3,4,988,28,4/79,35.28,5.89,35.8,1,0
WW Hinds (WI),1999-2010,119,34,157.3,3,837,28,3/24,29.89,5.31,33.7,0,0
VJ Kingma (NED),2014-2024,22,22,160.5,9,833,28,3/19,29.75,5.17,34.4,0,0
BMAJ Mendis (SL),2010-2019,58,49,234.0,2,1204,28,3/15,43.00,5.14,50.1,0,0
SPD Smith (AUS),2010-2024,158,40,179.2,1,971,28,3/16,34.67,5.41,38.4,0,0
HR Walsh (USA/WI),2019-2024,23,23,172.1,1,932,28,5/39,33.28,5.41,36.8,1,1
Ata-ur-Rehman (PAK),1992-1996,30,30,248.4,7,1186,27,3/27,43.92,4.76,55.2,0,0
Ayaan Khan (OMA),2021-2023,34,32,192.4,9,938,27,4/36,34.74,4.86,42.8,1,0
IT Botham (ENG),1991-1992,18,18,167.0,13,628,27,4/31,23.25,3.76,37.1,2,0
RL Chase (WI),2017-2024,45,37,258.5,6,1255,27,3/30,46.48,4.84,57.5,0,0
PW Gunaratne (SL),2002-2003,23,23,159.5,6,908,27,4/44,33.62,5.68,35.5,1,0
KM Jadhav (IND),2014-2020,73,42,197.5,1,1020,27,3/23,37.77,5.15,43.9,0,0
